object_name,original_resolution_width,original_resolution_height,effective_resolution_width,effective_resolution_height,mAP,degradation_factor,GSD,pixels_on_target,knee
Cargo Truck,640,640,96,96,0.004049898705868049,0.15,2.0,12,False
Truck w/Box,640,640,96,96,0.04742096934058208,0.15,2.0,29,False
Truck Tractor,640,640,96,96,0.0,0.15,2.0,13,False
Trailer,640,640,96,96,0.0034474670131772827,0.15,2.0,19,False
Truck w/Flatbed,640,640,96,96,0.002086495601562403,0.15,2.0,23,False
Truck w/Liquid,640,640,96,96,0.0,0.15,2.0,23,False
Crane Truck,640,640,96,96,0.0,0.15,2.0,25,False
Railway Vehicle,640,640,96,96,0.02454076305554032,0.15,2.0,40,False
Passenger Car,640,640,96,96,0.12152077703874904,0.15,2.0,39,False
Cargo Car,640,640,96,96,0.02819150515246263,0.15,2.0,25,False
Flat Car,640,640,96,96,0.0,0.15,2.0,32,False
Tank car,640,640,96,96,0.02454076305554032,0.15,2.0,22,False
Locomotive,640,640,96,96,0.009365679653679656,0.15,2.0,41,False
Maritime Vessel,640,640,96,96,0.032501802008145,0.15,2.0,280,False
Motorboat,640,640,96,96,0.00610115855533387,0.15,2.0,12,False
Sailboat,640,640,96,96,0.0,0.15,2.0,19,False
Tugboat,640,640,96,96,0.051170760281385286,0.15,2.0,103,False
Barge,640,640,96,96,0.0,0.15,2.0,327,False
Fishing Vessel,640,640,96,96,0.025736015775806597,0.15,2.0,61,False
Ferry,640,640,96,96,0.018285538461538457,0.15,2.0,233,False
Yacht,640,640,96,96,0.0,0.15,2.0,73,False
Container Ship,640,640,96,96,0.0952361111111111,0.15,2.0,1057,False
Oil Tanker,640,640,96,96,0.199,0.15,2.0,952,False
Engineering Vehicle,640,640,96,96,0.0,0.15,2.0,40,False
Tower crane,640,640,96,96,0.0,0.15,2.0,339,False
Container Crane,640,640,96,96,0.0,0.15,2.0,495,False
Reach Stacker,640,640,96,96,0.0,0.15,2.0,25,False
Straddle Carrier,640,640,96,96,0.0,0.15,2.0,310,False
Mobile Crane,640,640,96,96,0.0,0.15,2.0,140,False
Dump Truck,640,640,96,96,0.0011704790465009438,0.15,2.0,14,False
Haul Truck,640,640,96,96,0.0,0.15,2.0,48,False
Scraper/Tractor,640,640,96,96,0.0,0.15,2.0,15,False
Front loader/Bulldozer,640,640,96,96,0.0,0.15,2.0,13,False
Excavator,640,640,96,96,0.0,0.15,2.0,18,False
Cement Mixer,640,640,96,96,0.001593087431693989,0.15,2.0,13,False
Ground Grader,640,640,96,96,0.0,0.15,2.0,14,False
Hut/Tent,640,640,96,96,0.0001195479198189769,0.15,2.0,26,False
Shipping Container,640,640,96,96,0.0060668987523637445,0.15,2.0,17,False
Fixed-wing Aircraft,640,640,128,128,0.048141839105339104,0.2,1.4999999999999998,141,False
Small Aircraft,640,640,128,128,0.0747209120170652,0.2,1.4999999999999998,64,False
Helicopter,640,640,128,128,0.0,0.2,1.4999999999999998,78,False
Passenger Vehicle,640,640,128,128,0.000853421217338286,0.2,1.4999999999999998,8,False
Small Car,640,640,128,128,0.012246858618600765,0.2,1.4999999999999998,8,False
Bus,640,640,128,128,0.03929210770470783,0.2,1.4999999999999998,21,False
Pickup Truck,640,640,128,128,0.0,0.2,1.4999999999999998,10,False
Utility Truck,640,640,128,128,0.0023909460871125152,0.2,1.4999999999999998,12,False
Truck,640,640,128,128,0.017696702761582164,0.2,1.4999999999999998,21,False
Cargo Truck,640,640,128,128,0.006838272969730777,0.2,1.4999999999999998,21,False
Truck w/Box,640,640,128,128,0.10411823699185134,0.2,1.4999999999999998,51,False
Truck Tractor,640,640,128,128,0.0,0.2,1.4999999999999998,22,False
Trailer,640,640,128,128,0.005271613425501009,0.2,1.4999999999999998,34,False
Truck w/Flatbed,640,640,128,128,0.0029201663152132597,0.2,1.4999999999999998,41,False
Truck w/Liquid,640,640,128,128,0.0,0.2,1.4999999999999998,40,False
Crane Truck,640,640,128,128,0.0,0.2,1.4999999999999998,43,False
Railway Vehicle,640,640,128,128,0.041839328920242405,0.2,1.4999999999999998,71,False
Passenger Car,640,640,128,128,0.21738957576389448,0.2,1.4999999999999998,69,False
Cargo Car,640,640,128,128,0.12225656876601612,0.2,1.4999999999999998,44,False
Flat Car,640,640,128,128,0.0,0.2,1.4999999999999998,57,False
Tank car,640,640,128,128,0.041839328920242405,0.2,1.4999999999999998,38,False
Locomotive,640,640,128,128,0.011667116883116883,0.2,1.4999999999999998,73,False
Maritime Vessel,640,640,128,128,0.06283242835030048,0.2,1.4999999999999998,497,False
Motorboat,640,640,128,128,0.009335240682746621,0.2,1.4999999999999998,22,False
Sailboat,640,640,128,128,0.004879827850961381,0.2,1.4999999999999998,33,False
Tugboat,640,640,128,128,0.08914733625351581,0.2,1.4999999999999998,183,False
Barge,640,640,128,128,0.009587623456790123,0.2,1.4999999999999998,580,False
Fishing Vessel,640,640,128,128,0.011395316715506467,0.2,1.4999999999999998,107,False
Ferry,640,640,128,128,0.06224112606114938,0.2,1.4999999999999998,413,False
Yacht,640,640,128,128,0.05036003712581285,0.2,1.4999999999999998,129,False
Container Ship,640,640,128,128,0.047856481481481486,0.2,1.4999999999999998,1879,False
Oil Tanker,640,640,128,128,0.2985,0.2,1.4999999999999998,1693,False
Engineering Vehicle,640,640,128,128,0.0017212727272727275,0.2,1.4999999999999998,71,False
Tower crane,640,640,128,128,0.0,0.2,1.4999999999999998,603,False
Container Crane,640,640,128,128,0.0007281541082923134,0.2,1.4999999999999998,880,False
Reach Stacker,640,640,128,128,0.0,0.2,1.4999999999999998,45,False
Straddle Carrier,640,640,128,128,0.029849999999999998,0.2,1.4999999999999998,551,False
Mobile Crane,640,640,128,128,0.019467668997669,0.2,1.4999999999999998,248,False
Dump Truck,640,640,128,128,0.0031356821005566514,0.2,1.4999999999999998,24,False
Haul Truck,640,640,128,128,0.0,0.2,1.4999999999999998,85,False
Scraper/Tractor,640,640,128,128,0.0,0.2,1.4999999999999998,27,False
Front loader/Bulldozer,640,640,128,128,0.0,0.2,1.4999999999999998,22,False
Excavator,640,640,128,128,0.02476361945016559,0.2,1.4999999999999998,31,False
Cement Mixer,640,640,128,128,0.0021162898936170215,0.2,1.4999999999999998,22,False
Ground Grader,640,640,128,128,0.0,0.2,1.4999999999999998,25,False
Hut/Tent,640,640,128,128,0.0015737133115530857,0.2,1.4999999999999998,47,False
Shipping Container,640,640,128,128,0.00845015318626172,0.2,1.4999999999999998,29,False
Fixed-wing Aircraft,640,640,160,160,0.1784444262295082,0.25,1.2,221,False
Small Aircraft,640,640,160,160,0.16466172371812984,0.25,1.2,100,False
Cargo Plane,640,640,160,160,0.5796717880874455,0.25,1.2,914,False
Helicopter,640,640,160,160,0.0,0.25,1.2,121,False
Passenger Vehicle,640,640,160,160,0.0022424227821649058,0.25,1.2,13,False
Small Car,640,640,160,160,0.03730064793355025,0.25,1.2,13,False
Bus,640,640,160,160,0.07039779489283991,0.25,1.2,32,False
Pickup Truck,640,640,160,160,0.0,0.25,1.2,15,False
Utility Truck,640,640,160,160,0.004534952837326643,0.25,1.2,19,False
Truck,640,640,160,160,0.045425899207390256,0.25,1.2,33,False
Cargo Truck,640,640,160,160,0.009917582276377315,0.25,1.2,33,False
Truck w/Box,640,640,160,160,0.15018862077824274,0.25,1.2,80,False
Truck Tractor,640,640,160,160,0.00029735761512585536,0.25,1.2,34,False
Trailer,640,640,160,160,0.012123359538217884,0.25,1.2,53,False
Truck w/Flatbed,640,640,160,160,0.006536978592428899,0.25,1.2,64,False
Truck w/Liquid,640,640,160,160,0.004861477504238709,0.25,1.2,62,False
Crane Truck,640,640,160,160,0.0026980985915492964,0.25,1.2,67,False
Railway Vehicle,640,640,160,160,0.06062489264958025,0.25,1.2,111,False
Passenger Car,640,640,160,160,0.26768739983705325,0.25,1.2,107,False
Cargo Car,640,640,160,160,0.24435279718152017,0.25,1.2,68,False
Flat Car,640,640,160,160,0.008686526963594541,0.25,1.2,88,False
Tank car,640,640,160,160,0.06062489264958025,0.25,1.2,59,False
Locomotive,640,640,160,160,0.034578340606614924,0.25,1.2,114,False
Maritime Vessel,640,640,160,160,0.10909378802704768,0.25,1.2,776,False
Motorboat,640,640,160,160,0.01769051297712738,0.25,1.2,33,False
Sailboat,640,640,160,160,0.01120468719414443,0.25,1.2,52,False
Tugboat,640,640,160,160,0.11697718861383324,0.25,1.2,285,False
Barge,640,640,160,160,0.012368415774099317,0.25,1.2,907,False
Fishing Vessel,640,640,160,160,0.008049288778566664,0.25,1.2,167,False
Ferry,640,640,160,160,0.09765039856257819,0.25,1.2,645,False
Yacht,640,640,160,160,0.05892696430615333,0.25,1.2,201,False
Container Ship,640,640,160,160,0.045133680555555555,0.25,1.2,2936,False
Engineering Vehicle,640,640,160,160,0.007724793525918526,0.25,1.2,111,False
Tower crane,640,640,160,160,0.0,0.25,1.2,942,False
Container Crane,640,640,160,160,0.0,0.25,1.2,1375,False
Reach Stacker,640,640,160,160,0.0,0.25,1.2,69,False
Straddle Carrier,640,640,160,160,0.2985,0.25,1.2,861,False
Mobile Crane,640,640,160,160,0.015964553614658355,0.25,1.2,387,False
Dump Truck,640,640,160,160,0.008654514584921297,0.25,1.2,37,False
Haul Truck,640,640,160,160,0.0,0.25,1.2,132,False
Scraper/Tractor,640,640,160,160,0.0,0.25,1.2,42,False
Front loader/Bulldozer,640,640,160,160,0.010390780986682896,0.25,1.2,35,False
Excavator,640,640,160,160,0.05493117426773993,0.25,1.2,48,False
Cement Mixer,640,640,160,160,0.005192440551098856,0.25,1.2,35,False
Ground Grader,640,640,160,160,0.0,0.25,1.2,39,False
Hut/Tent,640,640,160,160,0.0004565079397532616,0.25,1.2,73,False
Shipping Container,640,640,160,160,0.018893843114160428,0.25,1.2,45,False
Fixed-wing Aircraft,640,640,192,192,0.26904622830270325,0.3,1.0,318,False
Small Aircraft,640,640,192,192,0.2277717167191234,0.3,1.0,143,False
Cargo Plane,640,640,192,192,0.5903111888658372,0.3,1.0,1315,False
Helicopter,640,640,192,192,0.0,0.3,1.0,175,False
Passenger Vehicle,640,640,192,192,0.015912716331235595,0.3,1.0,18,False
Small Car,640,640,192,192,0.06549259368508782,0.3,1.0,18,False
Bus,640,640,192,192,0.09583313440188246,0.3,1.0,47,False
Pickup Truck,640,640,192,192,0.0009619362258928874,0.3,1.0,22,False
Utility Truck,640,640,192,192,0.006826454135532169,0.3,1.0,27,False
Truck,640,640,192,192,0.06608574513886109,0.3,1.0,48,False
Cargo Truck,640,640,192,192,0.015308104584156287,0.3,1.0,47,False
Truck w/Box,640,640,192,192,0.1971168086204087,0.3,1.0,115,False
Truck Tractor,640,640,192,192,0.000635218534402306,0.3,1.0,49,False
Trailer,640,640,192,192,0.025229888275364987,0.3,1.0,76,False
Truck w/Flatbed,640,640,192,192,0.014516121695103676,0.3,1.0,91,False
Truck w/Liquid,640,640,192,192,0.00516731911952635,0.3,1.0,89,False
Crane Truck,640,640,192,192,0.008667903364969802,0.3,1.0,97,False
Railway Vehicle,640,640,192,192,0.08333339869819674,0.3,1.0,160,False
Passenger Car,640,640,192,192,0.3310926155394408,0.3,1.0,154,False
Cargo Car,640,640,192,192,0.30396668022077883,0.3,1.0,98,False
Flat Car,640,640,192,192,0.00733525361655888,0.3,1.0,127,False
Tank car,640,640,192,192,0.08333339869819674,0.3,1.0,85,False
Locomotive,640,640,192,192,0.0678048184256764,0.3,1.0,164,False
Motorboat,640,640,192,192,0.024296415207094628,0.3,1.0,48,False
Sailboat,640,640,192,192,0.03054598686100348,0.3,1.0,74,False
